X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.1289086643159,38.8096153437869,43358235,38.809607,-77.128908,S Reynolds St & Edsall Rd,classic,725,active,2022/06/28 22:14:08+00,5,0,10,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.0446835785832,38.804804403737,43358236,38.804801,-77.044676,King St & N Pitt St,classic,726,active,2022/06/28 20:42:06+00,2,0,13,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.053739196163,38.8134847750133,43358237,38.813474,-77.053734,Braddock Rd Metro South,classic,727,active,2022/06/28 22:45:12+00,14,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.0366523027635,38.9261054903053,43358238,38.926102,-77.03665,16th & Harvard St NW,classic,728,active,2022/06/28 22:24:30+00,17,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0501031834748,38.8170267290378,43358239,38.817019,-77.050105,First St & Fayette St,classic,729,active,2022/06/28 20:12:38+00,8,0,8,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,16,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.084264890738,38.8635177143763,43358240,38.863508,-77.084259,Penrose Sq/Columbia Pike & S Barton St,classic,730,active,2022/06/28 23:06:05+00,10,0,5,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0980994669609,38.8440486863942,43358241,38.84404,-77.098093,S Wakefield St & 28th Rd S,classic,731,active,2022/06/28 16:34:21+00,10,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0537732680695,38.7975667362703,43358242,38.797557,-77.053766,Lee Center,classic,415,active,2022/06/28 04:58:30+00,13,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.0477898660708,38.818757328518,43358243,38.818748,-77.047783,Powhatan St & Bashford Ln,classic,416,active,2022/06/28 17:38:43+00,0,0,15,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.0478431565184,38.8295494609216,43358244,38.829545,-77.047844,Potomac Ave & Swann Ave,classic,417,active,2022/06/28 22:02:21+00,5,0,14,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
